booking_id,booking_datetime,pickup_location,drop_location,distance_km,estimated_fare,booking_hour,booking_day,booking_day_of_week,passenger_count,vehicle_type,payment_method,driver_rating,customer_rating,driver_experience_years,driver_acceptance_rate,customer_previous_cancellations,customer_total_bookings,driver_previous_cancellations,surge_multiplier,estimated_pickup_time_minutes,weather,traffic_condition,booking_source,is_weekend,cancellation
CAB_00018,2025-07-11 01:04:00,Residential,University,3.69,120.0,1,11,4,1,Economy,Cash,4.69,4.31,6.55,88.43,2,37,1,1.56,37.01,Storm,Moderate,App,0,1
CAB_00019,2024-05-21 02:58:00,Airport,Harbor,4.75,120.0,2,21,1,2,Economy,Wallet,3.57,3.84,4.03,78.6,1,35,2,1.0,21.83,Clear,Low,Website,0,0
CAB_00020,2025-01-10 13:11:00,Business District,Airport,8.24,177.12,13,10,4,4,Premium,Wallet,4.15,4.62,2.78,92.98,1,31,0,1.0,45.1,Cloudy,Moderate,Call Center,0,0
CAB_00021,2026-09-15 00:26:00,University,Residential,6.05,193.7,0,15,1,2,SUV,Wallet,4.7,4.12,6.99,59.59,2,29,0,1.0,18.63,Cloudy,Low,App,0,0
CAB_00022,2026-10-04 23:57:00,Residential,Old Town,9.09,206.47,23,4,6,1,SUV,Card,5.0,4.22,2.49,76.27,0,30,1,1.55,33.44,Snow,Low,App,1,1
CAB_00023,2026-07-09 20:51:00,Market,Market,11.48,262.23,20,9,3,3,Premium,Cash,4.75,4.55,12.01,81.69,3,34,0,1.95,58.11,Rainy,Heavy,App,0,1
CAB_00024,2024-01-10 08:18:00,Airport,Residential,9.68,190.45,8,10,2,1,Economy,Card,4.59,3.67,9.78,99.0,6,37,1,2.27,43.19,Storm,Low,Website,0,1
CAB_00025,2026-11-28 17:38:00,Old Town,University,1.0,120.0,17,28,5,2,Economy,Card,4.24,5.0,3.49,73.45,2,32,0,1.7,27.07,Clear,Heavy,Partner,1,0
CAB_00026,2026-03-21 17:23:00,University,Harbor,5.71,137.43,17,21,5,3,Economy,UPI,4.26,4.19,9.86,67.39,3,35,0,1.37,18.37,Clear,Moderate,App,1,1
CAB_00027,2026-01-09 08:26:00,Market,Downtown,1.0,120.0,8,9,4,3,SUV,Card,4.32,5.0,4.94,99.0,0,29,1,1.67,5.96,Snow,Low,App,0,0
CAB_00028,2025-07-04 12:58:00,Old Town,Harbor,12.03,271.51,12,4,4,3,SUV,UPI,4.18,3.74,8.17,88.24,2,38,1,1.0,45.09,Clear,Low,App,0,0
CAB_00029,2024-10-06 19:40:00,Harbor,Old Town,9.91,211.95,19,6,6,4,SUV,Cash,4.93,3.27,2.85,71.26,0,25,1,1.12,29.54,Clear,Moderate,Website,1,0
CAB_00030,2026-05-01 01:53:00,Market,Old Town,3.84,120.0,1,1,4,1,Economy,Card,4.41,3.79,0.5,93.29,2,31,1,1.0,26.29,Clear,Low,App,0,0
CAB_00031,2024-09-27 22:28:00,Downtown,Downtown,9.21,222.1,22,27,4,4,Premium,Cash,4.86,3.59,0.5,98.03,3,40,0,1.74,28.88,Rainy,Low,App,0,1
CAB_00032,2024-09-29 22:33:00,Business District,Residential,10.49,262.05,22,29,6,4,Premium,UPI,4.79,4.77,7.54,88.11,1,29,2,1.82,54.03,Snow,Low,App,1,1
CAB_00033,2026-04-30 03:40:00,Market,Residential,12.52,275.81,3,30,3,4,Economy,Cash,4.61,4.42,4.85,66.76,1,35,2,1.36,72.78,Cloudy,Severe,App,0,1
CAB_00034,2026-07-07 06:37:00,Residential,Old Town,2.9,120.0,6,7,1,4,Premium,Wallet,4.6,4.3,3.65,86.79,1,41,1,1.0,15.14,Cloudy,Moderate,Website,0,0
CAB_00035,2026-01-16 04:55:00,University,Market,7.97,205.71,4,16,4,2,Auto,Wallet,3.3,4.6,10.5,66.08,3,29,0,1.0,40.17,Clear,Low,Call Center,0,1
CAB_00036,2026-05-31 17:55:00,Harbor,Downtown,6.87,138.93,17,31,6,3,Economy,Wallet,4.91,4.42,6.39,83.21,0,37,1,1.13,29.71,Clear,Moderate,App,1,0
CAB_00037,2025-01-11 06:28:00,Airport,Downtown,11.76,260.28,6,11,5,2,Economy,Cash,3.65,3.42,5.46,79.69,6,28,1,1.0,24.77,Cloudy,Low,App,1,0
CAB_00038,2025-03-16 13:31:00,Airport,Market,1.59,120.0,13,16,6,2,Economy,Wallet,4.55,4.33,10.58,73.67,0,41,0,1.45,18.96,Clear,Heavy,Website,1,0
CAB_00039,2024-03-08 10:11:00,Airport,Market,1.0,120.0,10,8,4,1,SUV,Card,4.11,4.46,3.67,80.51,2,33,0,2.19,48.68,Storm,Heavy,App,0,1
CAB_00040,2025-02-11 13:57:00,Airport,Harbor,13.9,313.06,13,11,1,3,Economy,UPI,4.34,4.57,0.5,88.74,2,42,0,1.0,50.72,Clear,Low,App,0,0
CAB_00041,2025-12-21 14:03:00,University,University,2.36,120.0,14,21,6,1,SUV,Card,4.17,4.86,5.61,78.76,2,31,1,1.36,30.45,Clear,Heavy,Website,1,0
CAB_00042,2025-07-29 08:33:00,Airport,Market,11.22,239.26,8,29,1,3,Premium,Card,4.28,4.84,10.23,99.0,2,37,2,1.66,50.12,Storm,Low,Call Center,0,1
CAB_00043,2026-06-24 02:19:00,Market,Airport,1.05,120.0,2,24,2,4,Premium,Card,4.04,4.43,4.62,77.95,1,42,2,1.63,15.92,Rainy,Low,App,0,0
CAB_00044,2024-03-11 07:43:00,Harbor,Harbor,5.99,151.92,7,11,0,3,Economy,Card,4.8,3.92,8.62,93.48,1,42,4,1.52,39.75,Rainy,Low,Call Center,0,0
CAB_00045,2025-11-25 06:18:00,Old Town,Residential,8.23,154.24,6,25,1,1,Premium,UPI,4.7,5.0,5.25,80.05,0,29,1,1.0,24.88,Cloudy,Low,Call Center,0,0
CAB_00046,2025-11-23 01:56:00,Airport,Market,11.44,244.75,1,23,6,4,SUV,Wallet,4.23,4.4,8.04,85.71,3,31,1,1.39,40.82,Clear,Heavy,App,1,0
CAB_00047,2026-01-15 19:54:00,University,Airport,8.96,199.08,19,15,3,4,Economy,UPI,5.0,4.22,6.63,68.17,0,38,2,1.14,18.62,Clear,Moderate,App,0,0
CAB_00048,2025-08-28 12:27:00,University,Airport,8.52,230.35,12,28,3,3,Economy,Cash,3.46,3.4,3.76,83.22,0,26,0,1.0,46.53,Cloudy,Moderate,Call Center,0,1
CAB_00049,2026-02-04 23:51:00,Airport,Harbor,2.12,120.0,23,4,2,4,Premium,UPI,4.34,4.27,0.68,68.22,3,34,1,1.0,5.0,Cloudy,Low,Partner,0,0
CAB_00050,2024-06-21 09:45:00,Old Town,Old Town,2.31,120.0,9,21,4,1,Premium,Wallet,4.66,4.71,5.05,99.0,2,30,0,1.3,30.64,Clear,Moderate,App,0,0
CAB_00051,2025-03-30 04:06:00,Business District,Airport,18.77,420.32,4,30,6,1,Economy,Card,4.9,4.16,4.9,72.3,0,27,1,1.45,67.56,Clear,Heavy,App,1,1
CAB_00052,2026-01-27 12:08:00,Harbor,Harbor,6.03,120.0,12,27,1,4,Economy,UPI,3.97,4.44,6.55,71.11,0,31,0,1.0,34.28,Cloudy,Low,Website,0,0
CAB_00053,2025-09-24 08:40:00,Business District,University,12.85,320.68,8,24,2,2,Economy,UPI,4.14,4.55,3.18,73.57,1,27,1,2.03,60.21,Rainy,Heavy,App,0,1
CAB_00054,2026-11-28 22:10:00,Residential,Harbor,8.61,174.32,22,28,5,3,Premium,Card,5.0,4.58,4.8,99.0,2,31,1,1.24,47.0,Clear,Severe,Partner,1,0
CAB_00055,2024-06-12 11:12:00,Residential,Harbor,1.0,120.0,11,12,2,4,Auto,Cash,4.84,4.27,0.5,68.05,1,33,2,1.87,33.88,Snow,Heavy,Website,0,1
CAB_00056,2025-07-08 11:26:00,Market,Residential,9.82,176.28,11,8,1,2,Economy,Wallet,4.44,4.77,0.5,66.88,4,36,1,1.5,41.06,Rainy,Low,App,0,1
CAB_00057,2025-02-08 23:28:00,Harbor,Old Town,2.69,120.0,23,8,5,4,Economy,UPI,5.0,4.63,4.3,75.39,1,33,1,1.33,22.73,Rainy,Low,App,1,0
CAB_00058,2024-08-06 02:40:00,University,Market,10.14,236.99,2,6,1,1,SUV,UPI,4.58,4.55,10.22,99.0,1,32,1,1.68,59.02,Storm,Severe,Partner,0,1
CAB_00059,2026-07-03 14:05:00,Downtown,Market,2.16,120.0,14,3,4,4,Economy,Cash,4.35,4.3,3.93,74.29,3,36,1,1.18,52.22,Clear,Severe,App,0,1
CAB_00060,2025-11-10 22:50:00,Business District,Airport,12.21,291.65,22,10,0,3,SUV,Card,4.79,4.77,4.63,69.07,0,34,1,1.0,15.88,Cloudy,Low,Website,0,0
CAB_00061,2025-07-15 11:55:00,Business District,Residential,15.32,329.46,11,15,1,4,Economy,Wallet,4.23,4.24,7.13,81.42,2,40,0,1.0,50.17,Cloudy,Low,App,0,0
CAB_00062,2026-10-15 23:42:00,Old Town,Residential,1.0,120.0,23,15,3,1,Economy,Wallet,5.0,4.39,0.5,80.14,1,45,0,1.4,28.01,Rainy,Moderate,App,0,0
CAB_00063,2026-03-07 18:10:00,Market,Airport,8.4,169.19,18,7,5,2,Economy,Cash,4.02,4.22,1.97,87.84,3,30,0,1.24,33.98,Cloudy,Low,App,1,1
CAB_00064,2026-09-23 18:10:00,Old Town,Harbor,9.45,189.95,18,23,2,1,Economy,Card,5.0,4.24,0.5,63.98,4,26,1,1.22,31.09,Clear,Low,App,0,0
CAB_00065,2025-12-04 20:59:00,Downtown,Downtown,12.28,276.08,20,4,3,4,Economy,UPI,4.45,5.0,4.74,56.29,1,29,0,2.16,48.69,Rainy,Heavy,Call Center,0,1
CAB_00066,2026-01-04 04:44:00,Airport,Harbor,4.27,120.0,4,4,6,4,SUV,Cash,3.98,4.48,7.84,59.19,1,38,1,1.15,39.9,Clear,Heavy,Website,1,0
CAB_00067,2026-08-24 00:12:00,Airport,Airport,12.74,255.71,0,24,0,2,Premium,Card,4.3,3.71,0.99,80.39,3,42,2,1.53,33.48,Rainy,Low,Website,0,1
CAB_00068,2025-03-17 11:14:00,Old Town,Downtown,8.85,177.83,11,17,0,2,SUV,Cash,4.74,5.0,0.5,87.86,0,29,1,2.29,36.38,Storm,Heavy,App,0,1
CAB_00069,2025-07-26 01:51:00,University,Airport,1.0,120.0,1,26,5,4,Economy,Cash,4.5,4.3,0.79,90.55,1,27,1,1.9,25.95,Rainy,Heavy,Call Center,1,0
CAB_00070,2026-05-24 05:46:00,Market,Downtown,9.08,259.41,5,24,6,3,Premium,Wallet,4.0,4.35,11.25,99.0,0,33,0,1.0,26.11,Cloudy,Low,Partner,1,0
CAB_00071,2025-10-30 23:28:00,Harbor,Harbor,7.24,121.7,23,30,3,4,Economy,Wallet,4.04,4.13,9.43,73.41,2,30,1,1.36,32.72,Rainy,Low,Website,0,0
CAB_00072,2025-04-29 17:06:00,Market,Old Town,7.76,156.24,17,29,1,1,SUV,Card,3.48,4.72,5.14,67.81,3,30,0,1.12,43.79,Cloudy,Low,Website,0,1
CAB_00073,2024-02-02 03:31:00,University,Business District,2.01,120.0,3,2,4,3,Premium,UPI,4.91,3.72,4.89,70.7,1,30,0,1.68,19.83,Rainy,Moderate,Website,0,1
CAB_00074,2026-08-23 18:12:00,Old Town,Airport,11.33,292.0,18,23,6,2,Economy,Cash,5.0,3.88,5.73,65.36,2,33,0,2.0,53.71,Rainy,Heavy,Website,1,1
CAB_00075,2026-11-18 11:32:00,Business District,Harbor,12.14,269.5,11,18,2,3,Premium,Card,3.4,3.91,7.7,99.0,2,30,0,1.5,44.95,Storm,Low,Website,0,0
CAB_00076,2026-02-15 00:12:00,Residential,Business District,6.66,148.75,0,15,6,3,Economy,Wallet,3.64,4.64,5.5,83.6,2,31,0,1.61,38.96,Storm,Low,App,1,0
CAB_00077,2024-04-29 12:20:00,Market,Airport,12.37,311.16,12,29,0,2,SUV,Card,4.11,4.29,7.89,83.86,1,35,1,1.72,40.73,Storm,Low,Call Center,0,1
CAB_00078,2025-07-31 03:25:00,Airport,Airport,11.48,236.44,3,31,3,1,SUV,Wallet,4.6,4.25,7.65,90.13,1,40,1,1.0,29.01,Cloudy,Low,Website,0,1
CAB_00079,2025-05-09 19:37:00,Harbor,Harbor,5.97,120.0,19,9,4,1,Economy,Card,3.96,3.87,0.5,93.95,1,30,0,1.47,19.87,Clear,Heavy,App,0,0
CAB_00080,2024-09-28 14:37:00,University,Market,7.3,146.09,14,28,5,1,SUV,Card,3.8,4.63,4.06,66.86,1,43,2,1.73,27.49,Rainy,Low,Website,1,0
CAB_00081,2024-09-11 23:11:00,Residential,Market,7.07,120.0,23,11,2,3,Economy,Wallet,4.01,4.91,0.5,99.0,1,32,0,1.52,35.78,Storm,Moderate,App,0,0
CAB_00082,2024-04-17 05:56:00,University,Downtown,2.97,120.0,5,17,2,2,Economy,Wallet,4.33,3.5,3.09,69.36,0,34,0,1.43,19.2,Storm,Low,Partner,0,0
CAB_00083,2024-12-13 20:02:00,Business District,Old Town,7.44,145.26,20,13,4,1,Auto,UPI,4.72,4.52,5.22,76.54,1,31,1,1.66,16.45,Rainy,Low,App,0,1
CAB_00084,2025-05-10 05:20:00,Business District,Airport,9.39,187.46,5,10,5,1,Economy,Card,4.14,3.72,6.75,91.18,0,35,0,1.75,35.75,Rainy,Low,Website,1,0
CAB_00085,2026-12-12 23:44:00,Downtown,Airport,3.5,120.0,23,12,5,1,Economy,Card,4.78,3.77,11.19,92.88,0,30,0,1.0,22.41,Cloudy,Low,Partner,1,0
CAB_00086,2026-03-10 12:59:00,Harbor,Business District,9.42,195.38,12,10,1,4,Economy,Card,5.0,4.15,7.61,77.05,1,37,1,1.27,53.84,Cloudy,Heavy,App,0,0
CAB_00087,2025-05-18 11:39:00,Old Town,Market,2.99,120.0,11,18,6,1,SUV,UPI,5.0,4.58,7.37,75.61,4,29,1,1.0,24.19,Cloudy,Low,App,1,1
CAB_00088,2024-03-21 22:36:00,Old Town,Old Town,2.71,120.0,22,21,3,2,Economy,Cash,4.52,3.32,2.57,89.11,0,29,3,1.0,6.75,Clear,Low,App,0,0
CAB_00089,2024-03-15 18:44:00,University,Downtown,1.0,120.0,18,15,4,4,SUV,UPI,4.62,3.54,3.22,94.58,4,31,0,1.48,31.42,Cloudy,Heavy,App,0,0
CAB_00090,2024-02-22 21:11:00,Old Town,Business District,8.37,189.06,21,22,3,2,SUV,Card,5.0,4.14,6.85,99.0,2,28,0,1.0,32.49,Cloudy,Low,App,0,0
CAB_00091,2024-12-12 06:09:00,Harbor,Airport,6.86,154.11,6,12,3,4,Economy,Cash,4.47,4.77,2.79,66.87,1,31,1,1.0,29.98,Cloudy,Moderate,Website,0,1
CAB_00092,2026-03-01 23:45:00,Business District,Residential,5.18,120.0,23,1,6,4,SUV,Cash,4.12,3.86,4.54,64.75,1,37,0,1.38,54.91,Cloudy,Heavy,App,1,1
CAB_00093,2025-05-03 02:47:00,Harbor,University,11.77,235.61,2,3,5,3,SUV,Card,4.05,4.42,6.05,55.16,1,32,2,1.61,55.07,Storm,Low,App,1,1
CAB_00094,2024-05-14 21:54:00,University,Downtown,4.6,120.0,21,14,1,1,Economy,UPI,4.51,4.35,3.42,60.72,3,40,1,1.0,45.99,Cloudy,Moderate,App,0,1
CAB_00095,2025-06-18 10:01:00,Airport,Market,4.44,120.0,10,18,2,4,Economy,Cash,5.0,4.0,1.04,97.14,1,37,0,1.71,15.8,Rainy,Low,Call Center,0,0
CAB_00096,2024-08-18 11:14:00,Business District,Market,1.0,120.0,11,18,6,4,Economy,Card,4.56,4.3,7.03,94.84,0,38,1,1.0,6.78,Clear,Moderate,Website,1,0
CAB_00097,2026-03-27 01:17:00,Old Town,University,8.56,215.95,1,27,4,3,Auto,Wallet,4.62,4.63,6.66,93.46,1,25,0,1.0,36.02,Clear,Low,App,0,0
CAB_00098,2024-01-09 17:00:00,Downtown,Residential,1.0,120.0,17,9,1,4,SUV,Cash,4.67,4.15,11.69,83.2,1,39,2,1.86,22.74,Storm,Low,App,0,0
CAB_00099,2025-01-18 12:15:00,Business District,University,15.11,336.76,12,18,5,4,Economy,Card,4.95,3.95,0.53,86.91,0,38,2,1.0,41.28,Clear,Low,App,1,0
CAB_00100,2024-08-03 23:58:00,Old Town,Market,9.39,176.93,23,3,5,4,Economy,Wallet,3.52,4.48,6.54,99.0,4,34,0,1.0,33.37,Clear,Moderate,Call Center,1,1
CAB_00101,2026-07-20 22:45:00,Downtown,Downtown,5.35,120.0,22,20,0,1,Economy,UPI,4.46,4.26,8.03,60.01,1,45,1,1.73,10.7,Rainy,Low,Website,0,1
CAB_00102,2024-01-08 04:41:00,Residential,University,6.49,167.34,4,8,0,3,Premium,Card,4.63,4.05,2.73,58.29,1,40,0,1.0,37.84,Cloudy,Low,Website,0,1
CAB_00103,2024-01-17 17:53:00,University,Downtown,7.24,197.95,17,17,2,3,Premium,Card,4.3,4.45,9.13,99.0,2,27,1,1.33,19.43,Cloudy,Low,Call Center,0,0
CAB_00104,2026-10-08 14:54:00,Harbor,Harbor,11.83,280.71,14,8,3,3,Economy,UPI,5.0,4.21,4.03,94.53,1,43,1,1.3,35.83,Clear,Heavy,App,0,1
CAB_00105,2026-02-07 05:19:00,University,Business District,11.48,252.94,5,7,5,3,Economy,Cash,4.29,4.18,6.55,91.76,3,37,3,1.0,40.89,Clear,Moderate,App,1,1
CAB_00106,2024-12-12 12:00:00,Business District,Business District,11.95,243.78,12,12,3,1,Economy,Card,4.99,5.0,5.11,50.11,1,33,2,1.0,45.74,Clear,Moderate,Partner,0,0
CAB_00107,2024-12-19 09:28:00,Downtown,Market,14.96,343.04,9,19,3,4,Economy,Cash,3.73,4.29,11.2,79.79,1,29,1,1.84,76.36,Rainy,Severe,Website,0,1
CAB_00108,2026-05-04 15:51:00,Downtown,Residential,10.33,219.35,15,4,0,4,Economy,Card,4.85,4.38,3.94,78.32,1,36,2,1.74,39.8,Storm,Low,Partner,0,1
CAB_00109,2024-11-24 04:22:00,University,Residential,4.26,120.0,4,24,6,4,SUV,UPI,4.7,3.5,7.0,99.0,0,34,1,1.81,53.79,Storm,Heavy,App,1,1
CAB_00110,2025-02-17 04:42:00,Market,Old Town,9.89,233.24,4,17,0,3,SUV,Cash,4.13,5.0,7.0,93.69,3,35,0,1.44,49.03,Cloudy,Heavy,Call Center,0,1
CAB_00111,2025-09-11 05:10:00,Business District,Old Town,5.79,120.0,5,11,3,3,SUV,Wallet,3.66,4.06,5.48,96.96,2,28,0,1.72,43.2,Storm,Low,App,0,1
CAB_00112,2024-07-06 06:29:00,Residential,Airport,13.93,298.3,6,6,5,1,Auto,UPI,4.4,4.73,3.63,91.83,2,33,0,1.21,62.16,Cloudy,Heavy,Call Center,1,0
CAB_00113,2024-03-21 05:18:00,Airport,Business District,4.22,120.0,5,21,3,1,Economy,Card,4.7,3.9,3.26,77.79,2,32,0,1.41,33.08,Storm,Low,Partner,0,1
CAB_00114,2025-08-27 06:35:00,Business District,Old Town,14.05,303.51,6,27,2,4,Economy,Wallet,4.95,4.05,0.75,85.12,1,30,1,1.0,51.61,Cloudy,Moderate,App,0,0
CAB_00115,2026-09-19 20:30:00,Market,Residential,12.26,299.36,20,19,5,2,Premium,UPI,4.59,4.31,6.78,45.0,0,32,1,1.0,48.94,Cloudy,Moderate,App,1,1
CAB_00116,2026-05-12 02:05:00,Market,Residential,7.74,216.25,2,12,1,4,Economy,Wallet,3.93,3.82,1.33,99.0,2,37,2,1.0,37.52,Clear,Moderate,App,0,1
CAB_00117,2024-10-30 05:38:00,Old Town,Airport,10.26,215.92,5,30,2,3,SUV,Cash,3.77,4.46,8.95,65.04,2,33,2,1.0,37.26,Clear,Low,Call Center,0,1
CAB_00118,2024-08-09 19:45:00,Market,Airport,10.59,207.81,19,9,4,4,Premium,Card,5.0,4.07,7.1,98.99,0,38,1,1.97,38.62,Rainy,Low,App,0,0
CAB_00119,2025-05-22 15:57:00,Business District,Residential,7.33,185.54,15,22,3,1,SUV,Card,4.89,3.91,2.76,84.63,2,30,0,1.0,24.41,Cloudy,Low,App,0,0
CAB_00120,2024-12-27 12:32:00,Downtown,Old Town,9.85,233.49,12,27,4,1,Economy,Card,4.04,4.4,5.13,99.0,3,36,1,1.0,39.46,Clear,Moderate,App,0,0
CAB_00121,2025-06-12 09:40:00,Market,University,5.71,145.19,9,12,3,1,Auto,Wallet,4.94,4.32,10.08,99.0,0,36,2,1.6,25.21,Clear,Heavy,Website,0,0
CAB_00122,2026-09-26 13:43:00,Harbor,Market,1.0,120.0,13,26,5,1,Premium,Cash,4.26,3.98,6.77,87.58,3,34,0,1.0,10.75,Cloudy,Low,App,1,0
CAB_00123,2026-01-15 21:08:00,University,Old Town,5.98,120.0,21,15,3,2,Auto,Cash,4.96,4.13,4.19,83.62,4,36,0,1.0,40.55,Clear,Moderate,App,0,1
CAB_00124,2026-03-27 05:29:00,Downtown,Airport,12.1,273.19,5,27,4,2,Premium,Wallet,3.89,4.24,3.11,96.05,0,39,0,1.0,29.12,Clear,Moderate,Call Center,0,1
CAB_00125,2025-03-10 18:39:00,Residential,Business District,15.7,355.97,18,10,0,4,Economy,Cash,4.83,4.98,1.76,94.32,0,32,1,1.39,61.73,Clear,Heavy,Call Center,0,0
CAB_00126,2024-01-06 14:38:00,Business District,Airport,17.64,387.3,14,6,5,3,SUV,Cash,4.96,4.37,5.4,74.24,4,27,2,1.0,60.48,Clear,Low,Partner,1,1
CAB_00127,2026-07-12 05:30:00,Old Town,Downtown,5.05,120.0,5,12,6,2,Premium,UPI,5.0,4.81,4.43,99.0,4,35,0,1.0,27.54,Cloudy,Low,App,1,1
CAB_00128,2024-09-30 15:18:00,University,University,1.0,120.0,15,30,0,4,SUV,Card,5.0,4.6,3.06,80.44,1,45,3,1.0,5.0,Clear,Low,App,0,0
CAB_00129,2025-04-25 04:01:00,Harbor,Business District,4.5,120.0,4,25,4,3,Economy,Wallet,4.59,4.21,7.05,90.84,1,29,1,1.0,20.63,Clear,Moderate,App,0,0
CAB_00130,2024-05-16 10:14:00,Harbor,Residential,7.19,158.39,10,16,3,1,Economy,Wallet,4.62,4.62,12.15,70.32,4,29,1,1.0,39.37,Clear,Moderate,Call Center,0,1
CAB_00131,2025-06-12 07:02:00,Downtown,Harbor,12.86,313.93,7,12,3,1,Economy,UPI,4.2,4.87,2.99,99.0,5,32,2,1.54,42.65,Storm,Low,Partner,0,1
CAB_00132,2026-12-21 01:56:00,Market,Airport,2.88,120.0,1,21,0,3,SUV,Cash,4.58,4.74,7.25,86.64,6,27,0,1.0,20.73,Clear,Low,App,0,0
CAB_00133,2026-12-03 14:40:00,Airport,University,12.26,266.88,14,3,3,2,SUV,Cash,5.0,4.52,6.37,69.37,0,36,1,1.0,37.54,Cloudy,Low,App,0,1
CAB_00134,2025-07-17 03:00:00,Airport,Harbor,5.71,120.0,3,17,3,3,Auto,Card,3.97,4.93,7.7,97.65,3,31,0,1.0,11.38,Clear,Low,Call Center,0,0
CAB_00135,2026-06-05 07:16:00,Residential,University,2.1,120.0,7,5,4,2,Economy,Cash,4.54,3.81,5.13,98.88,3,39,1,1.0,21.68,Clear,Moderate,App,0,0
CAB_00136,2025-06-03 00:02:00,Old Town,Downtown,13.08,299.34,0,3,1,1,Economy,Wallet,3.91,5.0,12.65,98.03,3,31,2,1.0,34.07,Clear,Moderate,App,0,1
CAB_00137,2025-05-31 14:19:00,Downtown,Business District,3.32,120.0,14,31,5,1,Auto,Wallet,4.12,4.53,6.33,90.28,4,40,0,1.86,30.33,Storm,Moderate,App,1,1
CAB_00138,2024-03-28 05:27:00,Old Town,Airport,6.29,148.32,5,28,3,2,Economy,Cash,3.26,4.38,4.5,70.72,2,21,0,1.27,23.85,Cloudy,Heavy,App,0,1
